feature,importance_mean,importance_std
interest_rate,0.181402450431105,0.0024223573131791996
debt_to_income_ratio,3.825161029415991e-05,0.00014066773419414214
loan_term,0.0,0.0
loan_type,0.0,0.0
applicant_age,0.0,0.0
occupancy_type,-7.5032413054954e-05,9.189556307719022e-05
loan_amount,-0.00011219502949393334,0.00019171194935451826
state_code,-0.00011254861958243101,9.189556307719022e-05
high_dti_flag,-0.000150064826109908,7.5032413054954e-05
combined_loan_to_value_ratio,-0.0002242764995933566,7.508881758471198e-05
loan_to_property_value_ratio,-0.0002618350307888484,0.00015015292158655863
income,-0.0003001719876043474,9.193012977391234e-05
property_value,-0.00033753251755939127,7.540021337919532e-05
loan_to_income_ratio,-0.0004127770623298943,7.50888761618107e-05
