Model,Protected_Attribute,DPD,DPD_Pass,EOD,EOD_Pass,Disparate_Impact,80%_Rule_Pass
LR_Fair,race,0.0512289513113513,False,0.125,False,0.9456517214425243,True
LR_Fair,ethnicity,0.029632894384854613,True,0.003838088043563781,True,0.9684530449334453,True
LR_Fair,sex,0.005251556926779699,True,0.00999716855792477,True,0.9943911980588552,True
XGB_Fair,race,0.0017660044150110688,True,0.010869565217391353,True,0.9982339955849889,True
XGB_Fair,ethnicity,0.00021640985861015594,True,0.0006606191044091769,True,0.9997833976388641,True
XGB_Fair,sex,0.0005549133743810719,True,0.0006765513035523751,True,0.9994447039644406,True
RF_Fair,race,0.13075001416930798,False,0.6413043478260869,False,0.8453531164002702,True
RF_Fair,ethnicity,0.0424401691581332,True,0.06757611896706989,False,0.944957789213052,True
RF_Fair,sex,0.01626970162920649,True,0.014832624920405046,True,0.9788835840861841,True
NN_Fair,race,0.0,,0.0,,1.0,True
NN_Fair,ethnicity,0.0,,0.0,,1.0,True
NN_Fair,sex,0.0,,0.0,,1.0,True
GLM_Fair,race,0.05462764068356318,False,0.04666666666666667,True,0.9421738130899786,True
GLM_Fair,ethnicity,0.03189875163767175,True,0.005933325166567971,True,0.9661565975498626,True
GLM_Fair,sex,0.007994536838478505,True,0.014734388953019845,True,0.9914978270213826,True
GOSDT_Fair,race,0.0,,0.0,,1.0,True
GOSDT_Fair,ethnicity,0.0,,0.0,,1.0,True
GOSDT_Fair,sex,0.0,,0.0,,1.0,True
FasterRisk_Fair,race,0.00044150110375273943,True,0.010869565217391353,True,0.9995584988962473,True
FasterRisk_Fair,ethnicity,2.1149353779059687e-05,True,0.0006241112065339394,True,0.9999788477541005,True
FasterRisk_Fair,sex,9.798048813425275e-05,True,0.0014837845490384138,True,0.9999020098652686,True
Ensemble_Fair,race,0.012987012987012991,True,0.19999999999999996,False,0.987012987012987,True
Ensemble_Fair,ethnicity,0.005841258314774778,True,0.04978112645988131,True,0.9941393095548825,True
Ensemble_Fair,sex,0.002234513968243035,True,0.03584632892644779,True,0.9977578710041574,True
