Model,Attribute,Original_DPD,Fair_DPD,DPD_Improvement_%,Original_EOD,Fair_EOD,EOD_Improvement_%,Original_DI,Fair_DI
Logistic Regression,race,0.1003755868544601,0.0512289513113513,48.96273793583805,0.0112359550561797,0.125,-1012.5000000000073,0.8996244131455399,0.9456517214425243
XGBoost,race,0.0996244131455399,0.0017660044150110688,98.2273376984102,0.0021845985800109,0.010869565217391353,-397.55434782609444,0.9003755868544601,0.9982339955849889
Random Forest,race,0.100093896713615,0.13075001416930798,-30.627359371775825,0.0112359550561797,0.6413043478260869,-5607.608695652212,0.899906103286385,0.8453531164002702
Neural Network,race,0.0997183098591549,0.0,100.0,0.0112359550561797,0.0,100.0,0.900281690140845,1.0
GLM,race,0.100093896713615,0.05462764068356318,45.42360475797861,0.0149253731343283,0.04666666666666667,-212.66666666666788,0.899906103286385,0.9421738130899786
Ensemble,race,0.10018779342723,0.012987012987012991,87.03733005513698,0.0112359550561797,0.19999999999999996,-1680.0000000000114,0.89981220657277,0.987012987012987
Logistic Regression,ethnicity,0.1047225633582672,0.029632894384854613,71.70342910392932,0.0021505376344086,0.003838088043563781,-78.471094025716,0.8952774366417328,0.9684530449334453
XGBoost,ethnicity,0.1037177626437423,0.00021640985861015594,99.79134735160697,0.0021493820526598,0.0006606191044091769,69.26469616736219,0.8962822373562577,0.9997833976388641
Random Forest,ethnicity,0.1042759852629228,0.0424401691581332,59.30015041226988,0.0087719298245614,0.06757611896706989,-670.3677562245971,0.8957240147370772,0.944957789213052
Neural Network,ethnicity,0.1038294071675783,0.0,100.0,0.0087719298245614,0.0,100.0,0.8961705928324216,1.0
GLM,ethnicity,0.1047225633582672,0.03189875163767175,69.53975283383517,0.0087719298245614,0.005933325166567971,32.3600931011251,0.8952774366417328,0.9661565975498626
Ensemble,ethnicity,0.1043876297867589,0.005841258314774778,94.40426195449864,0.0012391573729863,0.04978112645988131,-3917.336905312646,0.895612370213241,0.9941393095548825
Logistic Regression,sex,0.1667004471361873,0.005251556926779699,96.84970435472835,0.0026043212274279,0.00999716855792477,-283.86848951802506,0.827583593778667,0.9943911980588552
XGBoost,sex,0.1649412404928801,0.0005549133743810719,99.66356905482044,0.0029880478087649,0.0006765513035523751,77.35808304111353,0.8294830465338489,0.9994447039644406
Random Forest,sex,0.1665408768360996,0.01626970162920649,90.2308058308002,0.0022889013538462,0.014832624920405046,-548.0237733041993,0.8277858911747826,0.9788835840861841
Neural Network,sex,0.1653099720563019,0.0,100.0,0.0032085561497326,0.0,100.0,0.8291018502808463,1.0
GLM,sex,0.1676819317369208,0.007994536838478505,95.2323206467938,0.0119521912350597,0.014734388953019845,-23.27772090693333,0.8266122163576776,0.9914978270213826
Ensemble,sex,0.1667701675572986,0.002234513968243035,98.66012368940308,0.0022168318788724,0.03584632892644779,-1517.0071022562686,0.8275239201590413,0.9977578710041574
