Model,Protected Attribute,DPD,EOD,Disparate Impact,80% Rule,Accuracy,Precision,Recall,F1 Score
Logistic Regression,race,0.10037558685446013,0.011235955056179775,0.8996244131455399,Pass,0.9991085297494429,0.9999288428423015,0.9991325739800634,0.9995305498257345
Logistic Regression,ethnicity,0.10472256335826724,0.002150537634408602,0.8952774366417328,Pass,0.9991085297494429,0.9999288428423015,0.9991325739800634,0.9995305498257345
Logistic Regression,sex,0.16670044713618737,0.0026043212274279304,0.827583593778667,Pass,0.9991085297494429,0.9999288428423015,0.9991325739800634,0.9995305498257345
XGBoost,race,0.09962441314553994,0.002184598580010923,0.9003755868544601,Pass,0.9998109002498818,0.9999288954621084,0.9998720191118127,0.9999004564781503
XGBoost,ethnicity,0.10371776264374233,0.0021493820526598604,0.8962822373562577,Pass,0.9998109002498818,0.9999288954621084,0.9998720191118127,0.9999004564781503
XGBoost,sex,0.16494124049288017,0.00298804780876494,0.8294830465338489,Pass,0.9998109002498818,0.9999288954621084,0.9998720191118127,0.9999004564781503
Random Forest,race,0.10009389671361502,0.011235955056179775,0.899906103286385,Pass,0.9992571081245357,0.9998435054773083,0.9993743156577507,0.9996088555112259
Random Forest,ethnicity,0.10427598526292281,0.008771929824561403,0.8957240147370772,Pass,0.9992571081245357,0.9998435054773083,0.9993743156577507,0.9996088555112259
Random Forest,sex,0.16654087683609964,0.0022889013538462955,0.8277858911747826,Pass,0.9992571081245357,0.9998435054773083,0.9993743156577507,0.9996088555112259
Neural Network,race,0.09971830985915497,0.011235955056179775,0.900281690140845,Pass,0.9997028432498143,0.999886229503534,0.9998009186183752,0.9998435722411831
Neural Network,ethnicity,0.10382940716757838,0.008771929824561403,0.8961705928324216,Pass,0.9997028432498143,0.999886229503534,0.9998009186183752,0.9998435722411831
Neural Network,sex,0.16530997205630193,0.0032085561497326204,0.8291018502808463,Pass,0.9997028432498143,0.999886229503534,0.9998009186183752,0.9998435722411831
GLM,race,0.10009389671361502,0.014925373134328358,0.899906103286385,Pass,0.9986222732491389,0.9996300143725186,0.9989192724997511,0.9992745170559618
GLM,ethnicity,0.10472256335826724,0.008771929824561403,0.8952774366417328,Pass,0.9986222732491389,0.9996300143725186,0.9989192724997511,0.9992745170559618
GLM,sex,0.1676819317369208,0.01195219123505976,0.8266122163576776,Pass,0.9986222732491389,0.9996300143725186,0.9989192724997511,0.9992745170559618
Ensemble,race,0.10018779342723005,0.011235955056179775,0.89981220657277,Pass,0.9993246437495779,0.9999573129953471,0.9993316553616882,0.9996443862818452
Ensemble,ethnicity,0.10438762978675897,0.0012391573729863693,0.895612370213241,Pass,0.9993246437495779,0.9999573129953471,0.9993316553616882,0.9996443862818452
Ensemble,sex,0.16677016755729868,0.0022168318788724495,0.8275239201590413,Pass,0.9993246437495779,0.9999573129953471,0.9993316553616882,0.9996443862818452
