feature,importance,rank
latent_13,3.323676,1
latent_0,1.4453386,2
latent_53,1.4443887,3
latent_4,1.1673683,4
latent_51,1.0478463,5
latent_41,0.7188116,6
latent_24,0.5562288,7
latent_56,0.45645452,8
latent_10,0.39830387,9
latent_61,0.34838995,10
latent_43,0.3377233,11
latent_2,0.2789461,12
latent_58,0.2714938,13
latent_21,0.22688583,14
latent_60,0.2209545,15
latent_23,0.17765401,16
latent_57,0.1772516,17
latent_37,0.16328768,18
latent_15,0.1423293,19
latent_16,0.114007935,20
latent_26,0.10647817,21
latent_27,0.08394131,22
latent_36,0.0836167,23
latent_32,0.08245111,24
latent_35,0.08148503,25
latent_12,0.07184098,26
latent_6,0.070400566,27
latent_9,0.06325343,28
latent_63,0.052588467,29
latent_1,0.051996768,30
latent_29,0.0504814,31
latent_28,0.045373857,32
latent_17,0.043796737,33
latent_11,0.034392312,34
latent_62,0.03400424,35
latent_20,0.029236022,36
latent_39,0.028567344,37
latent_14,0.026862744,38
latent_38,0.026757818,39
latent_18,0.026642777,40
latent_5,0.013819348,41
latent_42,0.013697596,42
latent_45,0.01299928,43
latent_48,0.012103829,44
latent_31,0.012043071,45
latent_8,0.011452078,46
latent_49,0.010638251,47
latent_59,0.009925093,48
latent_54,0.009326324,49
latent_25,0.009169915,50
latent_19,0.00830281,51
latent_7,0.007431874,52
latent_44,0.00720491,53
latent_3,0.006223444,54
latent_30,0.0062065157,55
latent_52,0.005858117,56
latent_33,0.004903939,57
latent_34,0.0042374614,58
latent_46,0.003192234,59
latent_22,0.0027402334,60
latent_40,0.002424609,61
latent_50,0.001819601,62
latent_55,0.0017933793,63
latent_47,0.0016328016,64
